neighborhood,cars passing through
71,115
72,3599.25
38,1289.5
52,5379.375
76,3050.076923
15,1969.571429
7,1418.333333
3,2224
68,2844
60,777
19,3768.666667
55,5955.25
87,2585
79,9691.666667
16,2305
74,1293
61,3018.75
80,937
59,2123.777778
88,7700
8,1577
17,2249.833333
10,1788.333333
32,419
46,195
27,2465
36,2386
18,1189
73,1226
25,1924
78,4068
47,1736
9,3078.642857
62,3905.25
24,5831
39,1564.733333
48,2129.3
13,3914.4
51,2049.285714
44,3771.3
56,10350
89,1531
33,2443.5
77,2436
1,477
29,1342.666667
67,4408.8
43,3823
0,2386
12,2515.666667
22,11500
64,2649
75,3939.111111
65,16729
63,4964
45,126
41,4454.555556
40,6938.333333
28,4658.818182
54,666
84,953.3333333
20,2571
14,4975.333333
