X,Y,FID,CleverID,StopID,StopName,Timepoint,Direction,Routes_ser,NumberofRo,Latitude,Longitude,Mode,Shelter,Stop_type,On_avwk_FY,Off_avwk_F,On_avwk__1,Off_avwk_1,Ramp_Deplo,On_avwk_CY,Off_avwk_C,On_avwk__2,Off_avwk_2
-79.9241000295486,40.4520999557753,1,3140,E28860,HIGHLAND AVE AT FIFTH AVE,1022,Inbound,71B,1,40.4521,-79.9241,Bus,No Shelter,Bus Stop,6.34,2.29,6,2,0,63,15,63,15
-79.979100029531,40.4534999557618,2,2163,E34950,LIBERTY AVE AT 25TH ST,NA,Inbound,"2, 54, 86, 87, 88, 91",6,40.4535,-79.9791,Bus,No Shelter,Bus Stop,6.32,9.59,6,10,0.07,80,55,80,55
-79.8845000295527,40.4316999557788,3,19406,E17440,EDGEWOOD AVE AT ELM ST FS,NA,Inbound,"61A, P7",2,40.4317,-79.8845,Bus,No Shelter,Bus Stop,6.32,0.59,6,1,0,23,1,23,1
-79.9980000295267,40.4578999557584,4,220,N31400,MADISON AVE AT CONCORD ST,NA,Outbound,12,1,40.4579,-79.998,Bus,No Shelter,Bus Stop,6.32,3.01,6,3,0.01,13,5,13,5
-79.8782000295477,40.4156999557751,5,20446,E70007,WOODSTOCK AVE OPP SWISSVALE STATION STEPS,10020,Inbound,"59, 61A",2,40.4157,-79.8782,Bus,No Shelter,Bus Stop,6.31,48.15,6,48,0.29,7,123,7,123
-79.7940000295828,40.4323999558022,6,20688,E18907,EXPOMART DR AT WEST ENTRANCE,NA,Inbound,"67, P67",2,40.4324,-79.794,Bus,No Shelter,Bus Stop,6.3,0.34,6,0,0.01,82,2,82,2
-79.8391000295321,40.3504999557637,7,20844,S50330,YESTER SQ AT CRAWFORD VILLAGE PL,NA,Outbound,60,1,40.3505,-79.8391,Bus,No Shelter,Bus Stop,6.3,0.83,6,1,0.05,26,14,26,14
-79.976700029526,40.440199955758,8,8661,E06970,BENTLEY DR AT #1785,NA,Inbound,81,1,40.4402,-79.9767,Bus,No Shelter,Bus Stop,6.29,3.62,6,4,0.05,20,10,20,10
-80.0097000295109,40.4306999557464,9,6675,X18800,VIRGINIA AVE AT MAPLE TERRACE,NA,Inbound,40,1,40.4307,-80.0097,Bus,No Shelter,Bus Stop,6.29,0.49,6,0,0.02,15,2,15,2
-79.8576000295402,40.3829999557696,10,10981,S14770,DUQUESNE BLVD AT COMMONWEALTH AVE,NA,Both,"59, 61C, P7",3,40.383,-79.8576,Bus,No Shelter,Bus Stop,6.29,11.94,6,12,0.23,10,21,10,21
-79.9545000295309,40.4345999557618,11,8023,E08350,BLVD OF ALLIES AT WARD ST,NA,Both,"58, 65, 93",3,40.4346,-79.9545,Bus,No Shelter,Bus Stop,6.28,2.96,6,3,0.02,50,8,50,8
-79.9292000295492,40.4571999557758,12,18143,E70232,ELLSWORTH AVE AT COLLEGE ST,NA,Inbound,75,1,40.4572,-79.9292,Bus,No Shelter,Bus Stop,6.28,1.73,6,2,0,22,3,22,3
-80.0406000295215,40.4780999557541,13,1929,N13150,CALIFORNIA AVE OPP FALCK AVE,NA,Inbound,13,1,40.4781,-80.0406,Bus,No Shelter,Bus Stop,6.28,4.42,6,4,0.29,21,9,21,9
-79.9841000295243,40.4417999557566,14,8624,E13620,CENTRE AVE AT MILLER ST,NA,Outbound,"82, 83",2,40.4418,-79.9841,Bus,No Shelter,Bus Stop,6.27,8.39,6,8,0.05,18,23,18,23
-79.9298000295459,40.4501999557733,15,19995,E41865,NEGLEY AVE AT KENTUCKY AVE NS,NA,Inbound,64,1,40.4502,-79.9298,Bus,No Shelter,Bus Stop,6.27,7.89,6,8,0.01,17,23,17,23
-80.0275000295221,40.4695999557547,16,1863,N54680,WOODLAND AVE AT STAYTON ST,NA,Inbound,17,1,40.4696,-80.0275,Bus,No Shelter,Bus Stop,6.27,1.02,6,1,0.04,17,2,17,2
-80.1037000294442,40.3491999556956,17,6528,X09540,LESNETT RD AT BANK ST FS,437,Both,41,1,40.3492,-80.1037,Bus,Lamar,Bus Stop with Non-PAAC Shelter,6.25,7.62,6,8,0.15,21,12,21,12
-79.9276000295348,40.423199955765,18,8524,E05980,BEECHWOOD BLVD AT LILAC ST,20000,Outbound,"52L, 53L",2,40.4232,-79.9276,Bus,No Shelter,Bus Stop,6.25,3.65,6,4,0,9,29,9,29
