,neighborhood,right of way permits
0,Squirrel Hill South,3743
1,,44381
2,North Oakland,2062
3,Beechview,2183
4,East Liberty,1976
5,Central Business District,12197
6,Shadyside,5430
7,South Side Flats,4866
8,Mount Washington,3567
9,Marshall-Shadeland,1316
10,Greenfield,2349
11,North Shore,1221
12,Crawford-Roberts,621
13,South Oakland,1145
14,Bloomfield,2897
15,Garfield,1079
16,Troy Hill,571
17,Beltzhoover,946
18,West Oakland,1091
19,Manchester,559
20,Strip District,1978
21,Central Lawrenceville,3150
22,Hazelwood,1058
23,East Hills,669
24,South Side Slopes,1969
25,Larimer,667
26,Highland Park,1584
27,Terrace Village,155
28,Lower Lawrenceville,2032
29,Friendship,519
30,Regent Square,294
31,East Allegheny,1340
32,Upper Lawrenceville,1577
33,Point Breeze North,522
34,Lincoln-Lemington-Belmar,686
35,Lincoln Place,461
36,Allentown,1277
37,Squirrel Hill North,2928
38,Carrick,2923
39,Polish Hill,525
40,Middle Hill,513
41,New Homestead,94
42,Overbrook,1023
43,Perry North,1507
44,Brookline,2909
45,Stanton Heights,619
46,Homewood North,779
47,Perry South,1321
48,Point Breeze,1448
49,Central Northside,2022
50,Upper Hill,484
51,Allegheny Center,404
52,Knoxville,1081
53,Homewood South,801
54,California-Kirkbride,452
55,Bluff,1390
56,Duquesne Heights,924
57,Arlington,701
58,Allegheny West,512
59,Spring Hill-City View,752
60,West End,259
61,Brighton Heights,1077
62,South Shore,250
63,Central Oakland,1990
64,Windgap,191
65,Banksville,686
66,Morningside,1455
67,Sheraden,842
68,Westwood,495
69,Oakwood,115
70,Mt. Oliver,187
71,Ridgemont,67
72,Elliott,432
73,East Carnegie,173
74,Spring Garden,315
75,Chateau,388
76,Fineview,263
77,Summer Hill,59
78,Northview Heights,64
79,Bon Air,281
80,Crafton Heights,610
81,St. Clair,85
82,Mount Oliver Borough,22
83,Esplen,122
84,Swisshelm Park,202
85,Glen Hazel,48
86,Fairywood,80
87,Bedford Dwellings,101
88,Hays,102
89,Homewood West,283
90,Arlington Heights,28
91,Chartiers City,110
